Time resolution is 1 ps
t=0 | clk=0 | R_W_A=1 addr_A=0 din_A=0 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=z
t=5000 | clk=1 | R_W_A=1 addr_A=0 din_A=0 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=10000 | clk=0 | R_W_A=1 addr_A=1 din_A=3 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=15000 | clk=1 | R_W_A=1 addr_A=1 din_A=3 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=20000 | clk=0 | R_W_A=1 addr_A=2 din_A=6 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=25000 | clk=1 | R_W_A=1 addr_A=2 din_A=6 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=30000 | clk=0 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=35000 | clk=1 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=0 addr_B=0 din_B=0 dout_B=0
t=40000 | clk=0 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=0 din_B=0 dout_B=0
t=45000 | clk=1 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=0 din_B=0 dout_B=z
t=50000 | clk=0 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=1 din_B=5 dout_B=z
t=55000 | clk=1 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=1 din_B=5 dout_B=z
t=60000 | clk=0 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=2 din_B=10 dout_B=z
t=65000 | clk=1 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=2 din_B=10 dout_B=z
t=70000 | clk=0 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=75000 | clk=1 | R_W_A=1 addr_A=3 din_A=9 dout_A=z | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=80000 | clk=0 | R_W_A=0 addr_A=0 din_A=9 dout_A=z | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=85000 | clk=1 | R_W_A=0 addr_A=0 din_A=9 dout_A=0 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=90000 | clk=0 | R_W_A=0 addr_A=1 din_A=9 dout_A=0 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=95000 | clk=1 | R_W_A=0 addr_A=1 din_A=9 dout_A=5 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=100000 | clk=0 | R_W_A=0 addr_A=2 din_A=9 dout_A=5 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=105000 | clk=1 | R_W_A=0 addr_A=2 din_A=9 dout_A=10 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=110000 | clk=0 | R_W_A=0 addr_A=3 din_A=9 dout_A=10 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=115000 | clk=1 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=1 addr_B=3 din_B=15 dout_B=z
t=120000 | clk=0 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=0 din_B=15 dout_B=z
t=125000 | clk=1 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=0 din_B=15 dout_B=0
t=130000 | clk=0 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=1 din_B=15 dout_B=0
t=135000 | clk=1 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=1 din_B=15 dout_B=5
t=140000 | clk=0 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=2 din_B=15 dout_B=5
t=145000 | clk=1 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=2 din_B=15 dout_B=10
t=150000 | clk=0 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=3 din_B=15 dout_B=10
t=155000 | clk=1 | R_W_A=0 addr_A=3 din_A=9 dout_A=15 | R_W_B=0 addr_B=3 din_B=15 dout_B=15
t=160000 | clk=0 | R_W_A=1 addr_A=1 din_A=7 dout_A=15 | R_W_B=0 addr_B=1 din_B=15 dout_B=15
t=165000 | clk=1 | R_W_A=1 addr_A=1 din_A=7 dout_A=z | R_W_B=0 addr_B=1 din_B=15 dout_B=5
t=170000 | clk=0 | R_W_A=1 addr_A=2 din_A=8 dout_A=z | R_W_B=1 addr_B=3 din_B=12 dout_B=5
t=175000 | clk=1 | R_W_A=1 addr_A=2 din_A=8 dout_A=z | R_W_B=1 addr_B=3 din_B=12 dout_B=z
t=180000 | clk=0 | R_W_A=1 addr_A=0 din_A=4 dout_A=z | R_W_B=1 addr_B=0 din_B=11 dout_B=z
t=185000 | clk=1 | R_W_A=1 addr_A=0 din_A=4 dout_A=z | R_W_B=1 addr_B=0 din_B=11 dout_B=z
t=190000 | clk=0 | R_W_A=0 addr_A=0 din_A=4 dout_A=z | R_W_B=1 addr_B=0 din_B=11 dout_B=z
t=195000 | clk=1 | R_W_A=0 addr_A=0 din_A=4 dout_A=11 | R_W_B=1 addr_B=0 din_B=11 dout_B=z
