Time resolution is 1 ps
t=0, clk=0, en=0, address=00000, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=5000, clk=1, en=0, address=00000, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=10000, clk=0, en=1, address=00000, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=15000, clk=1, en=1, address=00000, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=20000, clk=0, en=1, address=00001, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=25000, clk=1, en=1, address=00001, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=30000, clk=0, en=1, address=00010, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=35000, clk=1, en=1, address=00010, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=40000, clk=0, en=1, address=00011, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=45000, clk=1, en=1, address=00011, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=50000, clk=0, en=1, address=00100, data_out=0000000000000000000000000000000000000000000000000000000000000000
t=55000, clk=1, en=1, address=00100, data_out=0000000000000000000000100100000000000000000000000000000000001111
t=60000, clk=0, en=1, address=00101, data_out=0000000000000000000000100100000000000000000000000000000000001111
t=65000, clk=1, en=1, address=00101, data_out=0000000000000000000001110100000000000000000000000000000000001111
t=70000, clk=0, en=1, address=00110, data_out=0000000000000000000001110100000000000000000000000000000000001111
t=75000, clk=1, en=1, address=00110, data_out=0000000000000000000011111100000000000000000000011111110000001111
t=80000, clk=0, en=1, address=00111, data_out=0000000000000000000011111100000000000000000000011111110000001111
t=85000, clk=1, en=1, address=00111, data_out=0000000000000000000001110100001111111111111000100000001000001111
t=90000, clk=0, en=1, address=01000, data_out=0000000000000000000001110100001111111111111000100000001000001111
t=95000, clk=1, en=1, address=01000, data_out=0001111111111110000000100100010000000000000100100000000100001111
t=100000, clk=0, en=1, address=01001, data_out=0001111111111110000000100100010000000000000100100000000100001111
t=105000, clk=1, en=1, address=01001, data_out=0010000000000001000000000100100000000000000010010000000100001111
t=110000, clk=0, en=1, address=01010, data_out=0010000000000001000000000100100000000000000010010000000100001111
t=115000, clk=1, en=1, address=01010, data_out=0100000000000010000011111101000000000000000001010000000010001111
t=120000, clk=0, en=1, address=01011, data_out=0100000000000010000011111101000000000000000001010000000010001111
t=125000, clk=1, en=1, address=01011, data_out=0010000000000100000100000010000000000000000000110000000010001111
t=130000, clk=0, en=1, address=01100, data_out=0010000000000100000100000010000000000000000000110000000010001111
t=135000, clk=1, en=1, address=01100, data_out=0001000000001000001000000010000000000000000000010000000010001111
t=140000, clk=0, en=1, address=01101, data_out=0001000000001000001000000010000000000000000000010000000010001111
t=145000, clk=1, en=1, address=01101, data_out=0000111111111000010000000000000000000000000000010000000010001111
t=150000, clk=0, en=1, address=01110, data_out=0000111111111000010000000000000000000000000000010000000010001111
t=155000, clk=1, en=1, address=01110, data_out=0001000000000100100000000000000000000000000000010000000010001111
t=160000, clk=0, en=1, address=01111, data_out=0001000000000100100000000000000000000000000000010000000010001111
t=165000, clk=1, en=1, address=01111, data_out=0011000000000010100000000000001100000000000000010000000001111111
t=170000, clk=0, en=1, address=10000, data_out=0011000000000010100000000000001100000000000000010000000001111111
t=175000, clk=1, en=1, address=10000, data_out=0111000100000001000000000000000010000000000000010000000000111111
t=180000, clk=0, en=1, address=10001, data_out=011100010000000100
