Time resolution is 1 ps
Time=0 | Reset=1 | s=00 | D=0000 | shift_left=0 | shift_right=0 | Q=0000
Time=10000 | Reset=0 | s=11 | D=1111 | shift_left=0 | shift_right=0 | Q=0000
Time=20000 | Reset=0 | s=00 | D=1111 | shift_left=0 | shift_right=0 | Q=0000
Time=25000 | Reset=0 | s=00 | D=1111 | shift_left=0 | shift_right=0 | Q=1111
Time=30000 | Reset=0 | s=10 | D=1111 | shift_left=1 | shift_right=0 | Q=1111
Time=35000 | Reset=0 | s=10 | D=1111 | shift_left=1 | shift_right=0 | Q=0111
Time=40000 | Reset=0 | s=01 | D=1111 | shift_left=0 | shift_right=1 | Q=0111
Time=45000 | Reset=0 | s=01 | D=1111 | shift_left=0 | shift_right=1 | Q=1110
Time=50000 | Reset=0 | s=00 | D=1111 | shift_left=0 | shift_right=0 | Q=1110
Time=55000 | Reset=0 | s=00 | D=1111 | shift_left=0 | shift_right=0 | Q=1111
$finish called at time : 60 ns : File "D:/Vivado/Master_slave/Universal_shift_register/Universal_shift_register.srcs/sim_1/new/simulation.v" Line 49
